sent_id,id,token,lemma,pos,synt_tag,head_id,head_tok
1,1,백설白雪이,백설+白雪+이,NOUN,nsubj,2,분분紛紛한
1,2,분분紛紛한,분분紛紛+하+ㄴ,VERB,amod,3,날에
1,3,날에,날+에,ADV,obl,11,희거다
1,5,임의직,임의직,NOUN,compound,6,백설이
1,6,백설이,백설+이,NOUN,nsubj,7,분분한
1,7,분분한,분분+하+ㄴ,VERB,acl,8,날에
1,8,날에,날+에,ADV,obl,11,희거다
1,9,천지天地가,천지天地+가,NOUN,nsubj,11,희거다
1,10,다,다,ADV,advmod,11,희거다
1,11,희거다,희+이+거,SCONJ,ccomp,14,입고
1,12,우의羽衣를,우의羽衣+를,NOUN,obj,13,떨쳐
1,13,떨쳐,떨치+어,SCONJ,ccomp,14,입고
1,14,입고,입+고,CCONJ,root,0,.
1,15,구당丘堂에,구당+丘堂+에,ADV,obl,16,올라가니
1,16,올라가니,오르+아+가+니,SCONJ,conj,14,입고
1,17,어즈버,어즈버,NOUN,compound,18,천산백옥경天山白玉京을
1,18,천산백옥경天山白玉京을,천산백옥경天山白玉京+을,NOUN,obj,21,하노라
1,19,미처,미처,ADV,advmod,21,하노라
1,20,본가,본가,NOUN,dep,21,하노라
1,21,하노라,하+노라,SCONJ,ccomp,27,“흰
1,22,임의직任義直,임의직任義直,NOUN,advcl,34,희다
1,24,생몰연대,생몰+연대,NOUN,compound,25,미상의
1,25,미상의,미상+의,NOUN,nmod,26,작품으로
1,26,작품으로,작품+으로,ADV,advcl,27,“흰
1,27,“흰,“르+ㄴ,VERB,acl,28,눈이
1,28,눈이,눈+이,NOUN,nsubj,30,날리니
1,29,어지러이,어지러이,ADV,advmod,30,날리니
1,30,날리니,날리+니,VERB,acl,32,세상이
1,31,온,오+ㄴ,VERB,compound,30,날리니
1,32,세상이,세상+이,NOUN,nsubj,34,희다
1,33,다,다,ADV,advmod,34,희다
1,34,희다,희+이+다,VERB,conj,14,입고
2,1,신선이,신선+이,NOUN,nsubj,2,입는다는
2,2,입는다는,입+는다는,VERB,acl,3,새의
2,3,새의,새+의,NOUN,nmod,4,깃으로
2,4,깃으로,깃+으로,ADV,advcl,5,만든
2,5,만든,만들+ㄴ,VERB,acl,6,옷처럼
2,6,옷처럼,옷+처럼,ADV,advcl,7,차려입고
